uwi,long,lat,lease,operator,fake_number
207,-102.82319,32.22083,UNIVERSITY 12-25 SOUTHEAST,SHERIDAN PRODUCTION COMPANY LLC,91
208,-102.8983,32.5203805,ECLIPSE,TEXLAND PETROLEUM LIMITED PARTNERSHIP,9
209,-102.6148083,32.3915681,FISHER STATE 17,LIME ROCK RESOURCES IV A LP,27
210,-102.6214831,32.3899789,FISHER STATE 17,LIME ROCK RESOURCES IV A LP,48
211,-102.8228472,32.1422068,THREE BAR SHALLOW UNIT,APACHE CORPORATION,30
212,-102.4856578,32.1338636,UNIVERSITY `36` PINNACLE,ZARVONA ENERGY LLC,86
213,-102.640511,32.2570732,GOWENS J W -A-,SHERIDAN PRODUCTION COMPANY LLC,17
214,-102.819281,32.143639,THREE BAR SHALLOW UNIT,APACHE CORPORATION,63
215,-102.823823,32.144006,THREE BAR SHALLOW UNIT,APACHE CORPORATION,56
216,-102.6432765,32.4148626,FISHER 9,LIME ROCK RESOURCES IV A LP,18
217,-102.6183738,32.3886268,WELBORN 20,PACESETTER ENERGY INCORPORATED,42
218,-102.6100688,32.3906306,WELBORN 20,PACESETTER ENERGY INCORPORATED,34
219,-102.7949711,32.157595,THREE BAR SHALLOW UNIT,APACHE CORPORATION,41
220,-102.6255203,32.4190405,FISHER 5,LIME ROCK RESOURCES IV A LP,9
221,-102.7915167,32.0911139,UNIVERSITY `B11-32`,MEWBOURNE OIL COMPANY,89
222,-102.6208084,32.4184517,FISHER 8,LIME ROCK RESOURCES IV A LP,12
223,-102.4848833,32.1642083,UNIVERSITY 29 SAWGRASS,ZARVONA ENERGY LLC,71
224,-102.7219785,32.404181,UNIVERSITY -YZ-,OXY USA WTP LP,57
225,-102.5285194,32.2132083,UNIVERSITY 7 `BERKLEY`,ZARVONA ENERGY LLC,59
226,-102.7249992,32.4103556,UNIVERSITY LANDS 13 KEENE 34,LIME ROCK RESOURCES IV A LP,94
227,-102.6142608,32.3896192,WELBORN 20,PACESETTER ENERGY INCORPORATED,10
228,-102.6981306,32.2845083,LINDLEY -A-,ARES ENERGY LIMITED,60
229,-102.4683972,32.1652724,UNIVERSITY `30` COBRA,ZARVONA ENERGY LLC,72
230,-102.6892392,32.4346956,UNIVERSITY BLOCK 14 CONSOLIDATED,TESSARA PETROLEUM RESOURCES LLC,30
231,-102.6064447,32.391505,WELBORN `20`,PACESETTER ENERGY INCORPORATED,90
232,-102.7870917,32.1064925,UNIVERSITY `B11 28`,MEWBOURNE OIL COMPANY,44
233,-102.814276,32.143697,THREE BAR SHALLOW UNIT,APACHE CORPORATION,80
234,-102.8201139,32.145625,THREE BAR SHALLOW UNIT,APACHE CORPORATION,70
235,-102.2837408,32.4803409,UNIVERSITY 6-23 UNIT,W&T OFFSHORE INCORPORATED,97
236,-102.4827982,32.1813502,UNIVERSITY `29` SAWGRASS POOLED UNIT,ZARVONA ENERGY LLC,8
237,-102.7574383,32.3853317,UNIVERSITY LANDS 13 DUBLIN,LIME ROCK RESOURCES IV A LP,88
238,-102.2614903,32.4279736,UNIVERSITY 6-48,W&T OFFSHORE INCORPORATED,52
239,-102.798568,32.153882,THREE BAR SHALLOW UNIT,APACHE CORPORATION,83
240,-102.811251,32.147907,THREE BAR SHALLOW UNIT,APACHE CORPORATION,60
241,-102.8077061,32.1487556,THREE BAR SHALLOW UNIT,APACHE CORPORATION,11
242,-102.796612,32.151466,THREE BAR SHALLOW UNIT,APACHE CORPORATION,40
243,-102.8004069,32.1513581,THREE BAR SHALLOW UNIT,APACHE CORPORATION,84
244,-102.6227242,32.4461933,DOW-HALL,TESSARA PETROLEUM RESOURCES LLC,58
245,-102.2134316,32.5178466,UNIVERSITY 6-13 UNIT,W&T OFFSHORE INCORPORATED,71
246,-102.2414832,32.4626032,UNIVERSITY 6-32,W&T OFFSHORE INCORPORATED,92
247,-102.6398811,32.4155485,FISHER 9,LIME ROCK RESOURCES IV A LP,38
248,-102.6068397,32.3929,FISHER EARLENE 17,LIME ROCK RESOURCES IV A LP,14
249,-102.8308889,32.1384278,UNIVERSITY `B11` `7`,MEWBOURNE OIL COMPANY,99
250,-102.6013896,32.4169414,FISHER 76,LIME ROCK RESOURCES IV A LP,71
251,-102.7222167,32.091375,BUM -A-,CONOCOPHILLIPS COMPANY,90
252,-102.7267028,32.0903277,BUM -A-,CONOCOPHILLIPS COMPANY,62
253,-102.2237722,32.4347611,UNIVERSITY LANDS III 4,DIAMONDBACK EXPLORATION & PROD LLC,50
254,-102.2206889,32.1243611,CROSS BAR RANCH,RSP PERMIAN LLC,3
255,-102.2598028,32.3512972,UNIVERSITY `7-43`,PIONEER NATURAL RESOURCES USA INC,53
256,-102.793881,32.15493,THREE BAR SHALLOW UNIT,APACHE CORPORATION,20
257,-102.8051,32.152092,THREE BAR SHALLOW UNIT,APACHE CORPORATION,26
258,-102.804292,32.149907,THREE BAR SHALLOW UNIT,APACHE CORPORATION,97
259,-102.807354,32.146587,THREE BAR SHALLOW UNIT,APACHE CORPORATION,6
260,-102.4366862,32.3414333,GLENNA,COG OPERATING LIMITED LIABILITY CORP,59
261,-102.8012528,32.1536668,THREE BAR SHALLOW UNIT,APACHE CORPORATION,16
